,Symbols,Company,Sector
309,SHFA,Shifa Int. Hospital Ltd.,Miscellaneous
310,SPEL,Synthetic Products Ent. Ltd.,Miscellaneous
311,STPL,Siddiqsons Tin Plate Ltd.,Miscellaneous
312,TPLP,TPL Properties Limited.,Miscellaneous
313,TRIPF,Tri-Pack Films Ltd. (XD),Miscellaneous
314,UBDL,United Brands Limited.,Miscellaneous
315,UDPL,United Distributors Pakistan.,Miscellaneous
316,ARM,Allied Rental Modaraba.,Modarabas
317,AWWAL,Awwal Modaraba.,Modarabas
318,BFMOD,B.F.Modaraba.,Modarabas
319,BRR,B.R.R. Guardian Modaraba.,Modarabas
320,FANM,First Al-Noor Mod.,Modarabas
321,FCONM,First Constellation Modaraba.,Modarabas
322,FECM,First Elite Capital Mod.,Modarabas
323,FEM,First Equity Mod.,Modarabas
324,FFLM,First Fidelity Leasing Mod.,Modarabas
325,FHAM,First Habib Mod.,Modarabas
326,FIBLM,First IBL Modaraba.,Modarabas
327,FIM,First Investec Modarba [ DEFAULTER SEGMENT ],Modarabas
328,FIMM,First Imrooz Mod.,Modarabas
329,FNBM,First National Bank Modaraba. [ DEFAULTER SEGMENT ],Modarabas
330,FPJM,First Punjab Mod.,Modarabas
331,FPRM,First Paramount Mod.,Modarabas
332,FTMM,First Treet Manufacturing Modaraba.,Modarabas
333,FTSM,First Tri-Star Mod.,Modarabas
334,FUDLM,First UDL Mod.,Modarabas
335,HMM,Habib Metro Modaraba.,Modarabas
336,KASBM,KASB Modaraba.,Modarabas
337,MODAM,Modarba Al-Mali.,Modarabas
338,OLPM,OLP Modaraba.,Modarabas
339,ORM,Orient Rental Modaraba.,Modarabas
340,PAKMI,First Pak Mod.,Modarabas
341,PIM,Popular Islamic Madaraba,Modarabas
342,PMI,First Prudential Mod.,Modarabas
343,SINDM,Sindh Modaraba.,Modarabas
344,TRSM,Trust Mod.,Modarabas
345,UCAPM,Unicap Modaraba.,Modarabas
346,MARI,Mari Petroleum Company Ltd.,Oil & gas exploration companies
347,OGDC,Oil & Gas Development Company Ltd.,Oil & gas exploration companies
348,POL,Pakistan Oilfields Limited.,Oil & gas exploration companies
349,PPL,Pakistan Petroleum Limited.,Oil & gas exploration companies
350,APL,Attock Petroleum Limited.,Oil & gas marketing companies
351,BPL,Burshane LPG (Pakistan) Limited.,Oil & gas marketing companies
352,HASCOL,Hascol Petroleum Ltd. [ DEFAULTER SEGMENT ],Oil & gas marketing companies
353,HASCOLR1,Hascol Petroleum Ltd.(R),Oil & gas marketing companies
354,HTL,Hi-Tech Lubricants Limited.,Oil & gas marketing companies
355,OBOY,Oilboy Energy Limited (XR),Oil & gas marketing companies
356,PSO,Pakistan State Oil Co Ltd.,Oil & gas marketing companies
357,SHEL,Shell Pakistan Ltd.,Oil & gas marketing companies
358,SNGP,Sui Northern Gas Pipe Line Ltd.,Oil & gas marketing companies
359,SSGC,Sui Southern Gas Co Ltd.,Oil & gas marketing companies
360,ABSON,Abson Industries Limited [ DEFAULTER SEGMENT ],Paper & board
361,CEPB,Century Paper & Board Mills.,Paper & board
362,CPPL,Cherat Packaging Limited.,Paper & board
363,DBSL,Dadabhoy Sack Ltd. [ DEFAULTER SEGMENT ],Paper & board
364,GEMPAPL,Pak Agro Packaging Limited,Paper & board
365,MERIT,Merit Packaging Ltd.,Paper & board
366,PKGS,Packages Ltd.,Paper & board
367,PPP,Pakistan Paper Products Ltd.,Paper & board
368,RPL,Roshan Packages Limited.,Paper & board
369,SEPL,Security Papers Ltd.,Paper & board
370,ABOT,Abbott Laboratories Pak Ltd. (XD),Pharmaceuticals
371,AGP,AGP Limited. (XD),Pharmaceuticals
372,CPHL,Citi Pharma Limited,Pharmaceuticals
373,FEROZ,Ferozsons Laboratories Ltd.,Pharmaceuticals
374,GLAXO,Glaxo SmithKline Pakistan Ltd. (XD),Pharmaceuticals
375,GSKCH,Glaxo SmithKline Healthcare Pak Ltd.,Pharmaceuticals
376,HINOON,Highnoon Laboratories Ltd. (XD)(XB),Pharmaceuticals
377,IBLHL,IBL HealthCare Limited.,Pharmaceuticals
378,MACTER,Macter International Limited.,Pharmaceuticals
379,OTSU,Otsuka Pakistan Ltd.,Pharmaceuticals
380,SAPL,Sanofi-Aventis Pakistan Ltd. (XD),Pharmaceuticals
381,SEARL,The Searle Company Ltd.,Pharmaceuticals
382,WYETH,Wyeth Pakistan Limited.(XD),Pharmaceuticals
383,AEL,Arshad Energy Limited. [ DEFAULTER SEGMENT ],Power generation & distribution
384,ALTN,Altern Energy Ltd.,Power generation & distribution
385,EPQL,Engro Powergen Qadirpur Ltd.,Power generation & distribution
386,HUBC,Hub Power Company Limited.,Power generation & distribution
387,JPGL,Japan Power Generation Ltd. [ DEFAULTER SEGMENT ],Power generation & distribution
388,KAPCO,Kot Addu Power Company.,Power generation & distribution
389,KEL,K-Electric Limited.,Power generation & distribution
390,KOHE,Kohinoor Energy Ltd.,Power generation & distribution
391,KOHP,Kohinoor Power Co Ltd.,Power generation & distribution
392,LPL,LALPIR Power Limited.,Power generation & distribution
393,NCPL,Nishat Chunian Power Ltd.,Power generation & distribution
394,NPL,Nishat Power Limited.,Power generation & distribution
395,PKGP,Pakgen Power Limited.,Power generation & distribution
396,SEL,Sitara Enengy Ltd.,Power generation & distribution
397,SGPL,S. G. Power Ltd.,Power generation & distribution
398,SPWL,Saif Power Ltd.,Power generation & distribution
399,TSPL,Tri -Star Power Ltd.,Power generation & distribution
400,DCR,Dolmen City REIT.,Real estate investment trust
401,ATRL,Attock Refinery Limited.,Refinery
402,CNERGY,Cnergyico PK Limited.,Refinery
403,NRL,National Refinary Ltd.,Refinery
404,PRL,Pakistan Refinery Ltd.,Refinery
405,BKTI-APR,Stock Index Future Contract,Stock index future contracts
406,BKTI-JUN,Stock Index Future Contract,Stock index future contracts
407,BKTI-MAR,Stock Index Future Contract,Stock index future contracts
408,BKTI-MAY,Stock Index Future Contract,Stock index future contracts
409,BKTI-OCT,Stock Index Future Contract,Stock index future contracts
410,KSE30-APR,Stock Index Future Contract,Stock index future contracts
411,KSE30-JUN,Stock Index Future Contract,Stock index future contracts
412,KSE30-MAR,Stock Index Future Contract,Stock index future contracts
413,KSE30-MAY,Stock Index Future Contract,Stock index future contracts
414,KSE30-OCT,Stock Index Future Contract,Stock index future contracts
415,OGTI-APR,Stock Index Future Contract,Stock index future contracts
416,OGTI-JUN,Stock Index Future Contract,Stock index future contracts
417,OGTI-MAR,Stock Index Future Contract,Stock index future contracts
418,OGTI-MAY,Stock Index Future Contract,Stock index future contracts
419,OGTI-OCT,Stock Index Future Contract,Stock index future contracts
420,AABS,Al-Abbas Sugar Mills Ltd.,Sugar & allied industries
421,ADAMS,Adam Sugar Mills Limited.,Sugar & allied industries
422,AGSML,Abdullah Shah Ghazi Sugar Mills Ltd.,Sugar & allied industries
423,ALNRS,Al-Noor Sugar Mills Ltd.,Sugar & allied industries
